"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login Functionality","1","0","Forgot password link","0"
"0","","0","Login Functionality","2","0","Validation empty login or password fields","0"
"0","","0","Frontend Menu Functionality","1","0","Check Study Guide button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Testimonials button","0"
"0","","0","Frontend Menu Functionality","1","0","Check F.A.C. button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Grades button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Our Team button","0"
"0","","0","Frontend Menu Functionality","1","0","Check My Profile button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Settings button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Login button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Gameplan button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Get Verified button","0"
"0","","0","Login Functionality","1","0","Check Sign Up link button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Contact Us button","0"
"0","","0","Login Functionality","1","0","Successful login with valid credentials","0"
"0","","0","Frontend Menu Functionality","1","0","Check all options are displayed and clickable for Menu button","0"
"0","","0","Login Functionality","2","0","Unsuccessful login with invalid credentials","0"
"0","","0","Frontend Menu Functionality","1","0","Check Classroom button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Background button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Home button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Player Directory button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Guidelines button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Scholarships button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Calendar button","0"
"0","","0","Frontend Menu Functionality","1","0","Check What We Do button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Coach Directory button","0"
"0","","0","Frontend Menu Functionality","1","0","Check Film To Field button","0"
