"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Frontend Menu Functionality","Check Classroom button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Our Team button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Background button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Home button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Gameplan button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Calendar button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Scholarships button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Login button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Grades button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Settings button","0","0","1","0","0"
"","Frontend Menu Functionality","Check all options are displayed and clickable for Menu button","0","0","1","0","0"
"","Login Functionality","Unsuccessful login with invalid credentials","0","0","2","0","0"
"","Login Functionality","Successful login with valid credentials","0","0","1","0","0"
"","Frontend Menu Functionality","Check Guidelines button","0","0","1","0","0"
"","Login Functionality","Forgot password link","0","0","1","0","0"
"","Frontend Menu Functionality","Check Contact Us button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Study Guide button","0","0","1","0","0"
"","Frontend Menu Functionality","Check What We Do button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Get Verified button","0","0","1","0","0"
"","Login Functionality","Validation empty login or password fields","0","0","2","0","0"
"","Frontend Menu Functionality","Check F.A.C. button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Player Directory button","0","0","1","0","0"
"","Login Functionality","Check Sign Up link button","0","0","1","0","0"
"","Frontend Menu Functionality","Check My Profile button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Film To Field button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Testimonials button","0","0","1","0","0"
"","Frontend Menu Functionality","Check Coach Directory button","0","0","1","0","0"
